Fecha;Aceites lubricantes;Asfalto;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;"Mezclas
oleosas";Naftas;PetCoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;Orimulsión;Total
ene/2000;0.00;48,446.00;296,766.99;0.00;0.00;0.00;0.00;194,410.48;1,426.00;202,645.20;308,156.82;0.00;64,026.09;0.00;0.00;0.00;0.00;0.00;0.00;634,667.06;0.00;1,750,544.64
feb/2000;0.00;50,597.00;328,116.44;0.00;0.00;0.00;0.00;174,710.55;1,458.00;205,530.96;307,766.31;0.00;62,660.30;0.00;0.00;0.00;0.00;0.00;0.00;642,380.66;0.00;1,773,220.22
mar/2000;0.00;27,593.00;368,589.63;0.00;0.00;0.00;0.00;189,234.07;1,503.00;229,499.56;331,910.29;0.00;61,361.99;0.00;0.00;0.00;0.00;0.00;0.00;699,807.25;0.00;1,909,498.79
abr/2000;0.00;53,794.00;396,300.47;0.00;0.00;0.00;0.00;174,330.61;1,561.00;210,680.40;315,648.08;0.00;61,814.32;0.00;0.00;0.00;0.00;0.00;0.00;586,803.98;0.00;1,800,932.86
may/2000;0.00;60,137.00;449,368.92;0.00;0.00;0.00;0.00;191,745.15;1,642.00;208,164.34;319,667.97;0.00;54,098.32;0.00;0.00;0.00;0.00;0.00;0.00;656,948.20;0.00;1,941,771.90
jun/2000;0.00;40,623.00;404,033.69;0.00;0.00;0.00;0.00;196,321.93;1,641.00;195,088.74;300,347.70;0.00;60,390.32;0.00;0.00;0.00;0.00;0.00;0.00;570,919.88;0.00;1,769,366.26
jul/2000;0.00;36,670.00;291,436.20;0.00;0.00;0.00;0.00;192,344.50;1,598.00;204,556.77;308,305.93;0.00;61,931.56;0.00;0.00;0.00;0.00;0.00;0.00;576,436.02;0.00;1,673,278.98
ago/2000;0.00;25,033.00;373,811.63;0.00;0.00;0.00;0.00;203,727.08;1,438.00;218,388.51;323,011.86;0.00;70,821.94;0.00;0.00;0.00;0.00;0.00;0.00;593,770.77;0.00;1,810,002.79
sep/2000;0.00;16,906.00;322,718.89;0.00;0.00;0.00;0.00;194,565.10;1,469.00;213,906.96;326,455.72;0.00;58,960.01;0.00;0.00;0.00;0.00;0.00;0.00;590,145.40;0.00;1,725,127.08
oct/2000;0.00;22,070.00;260,955.42;0.00;0.00;0.00;0.00;210,261.83;1,475.00;213,606.65;323,843.63;0.00;63,794.12;0.00;0.00;0.00;0.00;0.00;0.00;641,113.36;0.00;1,737,120.01
nov/2000;0.00;25,659.00;310,274.26;0.00;0.00;0.00;0.00;205,027.95;1,498.00;209,227.48;320,788.08;0.00;65,733.00;0.00;0.00;0.00;0.00;0.00;0.00;657,086.30;0.00;1,795,294.07
dic/2000;0.00;20,430.00;284,045.83;0.00;0.00;0.00;0.00;200,247.56;1,501.00;230,020.70;366,987.56;0.00;68,848.50;0.00;0.00;0.00;0.00;0.00;0.00;673,282.26;0.00;1,845,363.41
ene/2001;0.00;30,002.22;399,107.63;0.00;0.00;0.00;0.00;179,405.99;1,755.58;164,547.35;300,242.78;0.00;69,691.25;0.00;0.00;0.00;0.00;0.00;0.00;569,328.79;0.00;1,714,081.59
feb/2001;0.00;34,407.57;404,897.00;0.00;0.00;0.00;0.00;167,818.14;1,510.58;174,838.81;301,483.40;0.00;56,326.42;0.00;0.00;0.00;0.00;0.00;0.00;597,749.83;0.00;1,739,031.76
mar/2001;0.00;32,274.68;406,269.28;0.00;0.00;0.00;0.00;186,397.33;1,602.58;201,992.65;355,572.83;0.00;68,208.99;0.00;0.00;0.00;0.00;0.00;0.00;736,085.97;0.00;1,988,404.31
abr/2001;0.00;26,986.96;397,689.22;0.00;0.00;0.00;0.00;175,820.35;1,355.58;198,683.39;355,826.76;0.00;66,697.90;0.00;0.00;0.00;0.00;0.00;0.00;606,257.66;0.00;1,829,317.82
may/2001;0.00;29,776.72;494,837.73;0.00;0.00;0.00;0.00;178,303.33;1,273.58;182,504.09;336,040.04;0.00;61,641.63;0.00;0.00;0.00;0.00;0.00;0.00;664,082.66;0.00;1,948,459.78
jun/2001;0.00;26,759.22;385,382.02;0.00;0.00;0.00;0.00;177,826.93;1,171.58;201,379.48;308,804.70;0.00;57,796.09;0.00;0.00;0.00;0.00;0.00;0.00;559,333.03;0.00;1,718,453.05
jul/2001;0.00;24,312.29;482,085.37;0.00;0.00;0.00;0.00;191,041.99;1,637.58;214,980.24;350,501.97;0.00;67,033.45;0.00;0.00;0.00;0.00;0.00;0.00;589,452.73;0.00;1,921,045.63
ago/2001;0.00;25,226.00;470,955.27;0.00;0.00;0.00;0.00;190,295.99;1,412.58;204,646.77;348,414.65;0.00;64,093.29;0.00;0.00;0.00;0.00;0.00;0.00;568,546.37;0.00;1,873,590.93
sep/2001;0.00;20,603.10;387,235.78;0.00;0.00;0.00;0.00;184,039.99;1,710.58;188,292.35;324,393.96;0.00;51,773.04;0.00;0.00;0.00;0.00;0.00;0.00;533,108.39;0.00;1,691,157.20
oct/2001;0.00;29,817.10;412,617.56;0.00;0.00;0.00;0.00;206,176.99;1,102.58;225,240.95;366,261.63;0.00;56,193.31;0.00;0.00;0.00;0.00;0.00;0.00;603,371.18;0.00;1,900,781.31
nov/2001;0.00;22,299.10;606,966.56;0.00;0.00;0.00;0.00;201,335.99;1,791.58;210,324.95;351,890.63;0.00;53,500.31;0.00;0.00;0.00;0.00;0.00;0.00;626,156.18;0.00;2,074,265.31
dic/2001;0.00;19,283.10;402,835.56;0.00;0.00;0.00;0.00;209,792.99;979.58;223,209.95;403,561.63;0.00;60,508.31;0.00;0.00;0.00;0.00;0.00;0.00;664,190.18;0.00;1,984,361.31
ene/2002;0.00;16,971.66;512,580.55;0.00;0.00;0.00;0.00;196,068.61;1,722.92;200,309.85;368,935.53;0.00;51,969.77;0.00;0.00;0.00;37,593.98;0.00;0.00;726,672.60;0.00;2,112,825.45
