Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
ene-01;0;27,748.99;214,581.84;0;0;0;0;194,065.74;820;177,776.50;373,963.96;0;33,834.03;0;0;0;0;0;0;566,101.99;8,402.00;0;715,344.00;2,312,639.05
feb-01;0;7,503.57;294,609.00;0;0;0;0;170,703.38;3,054.00;123,115.99;243,091.07;0;67,439.95;0;0;0;0;0;0;489,525.80;0;0;370,166.00;1,769,208.76
mar-01;0;26,304.32;315,263.80;0;0;0;0;161,837.37;677;161,726.42;312,084.38;0;31,787.29;0;0;0;0;0;0;575,559.68;0;0;360,530.00;1,945,770.26
abr-01;0;7,885.89;205,653.00;0;0;0;0;163,048.64;3,399.00;127,338.74;285,054.89;0;25,801.18;0;0;0;0;0;0;437,745.42;8,184.00;0;359,527.00;1,623,637.76
may-01;0;8,443.16;278,371.30;0;0;0;0;171,518.86;585;168,730.19;300,913.67;0;45,529.33;0;0;0;0;0;0;552,609.13;12,680.00;0;723,346.00;2,262,726.64
jun-01;0;6,229.04;218,765.60;0;0;0;0;190,004.42;492;152,899.09;333,217.19;0;64,444.95;0;0;0;0;0;0;497,855.26;0;0;360,369.00;1,824,276.55
jul-01;0;3,103.99;156,109.00;0;0;0;0;206,022.83;655;136,299.13;195,071.86;0;23,654.10;0;0;0;0;0;0;302,350.02;10,642.00;0;360,570.00;1,394,477.93
ago-01;0;27,821.06;189,692.60;0;0;0;0;100,561.47;607;139,365.07;268,153.26;0;49,890.61;0;0;0;0;0;0;464,159.13;13,357.00;0;719,303.00;1,972,910.20
sep-01;0;2,324.85;385,142.30;0;0;0;0;186,839.02;3,868.00;233,643.75;308,439.07;0;41,519.91;0;0;0;0;0;0;321,952.94;0;0;360,635.00;1,844,364.84
oct-01;0;1,484.40;214,138.00;0;0;0;0;163,864.20;650;141,550.22;305,102.28;0;32,657.33;0;0;0;0;0;0;438,989.55;19,431.00;0;717,717.00;2,035,583.98
nov-01;0;895.44;142,282.26;0;0;0;0;194,722.50;2,988.00;165,841.46;256,638.19;0;23,876.81;0;0;0;0;0;0;440,245.35;0;0;356,364.00;1,583,854.01
